agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,calibrated,5,2,5,0.968732,3,0.323000,3.505000,-1.005000,-4.510000,-0.201000,1.000000
agent_01,timid,5,0,5,0.502540,5,0.334600,1.673000,0.827000,-0.846000,0.165400,1.000000
agent_02,calibrated,5,0,5,0.917871,5,0.342400,1.712000,0.788000,-0.924000,0.157600,1.000000
agent_03,assertive,5,3,5,1.000000,2,0.336500,4.482000,-1.982000,-6.464000,-0.396400,1.000000
agent_04,calibrated,5,0,5,0.920047,5,0.337400,1.687000,0.813000,-0.874000,0.162600,1.000000
agent_05,timid,5,0,5,0.422294,5,0.344000,1.720000,0.780000,-0.940000,0.156000,1.000000
agent_06,neutral,5,0,5,0.942394,5,0.328600,1.643000,0.857000,-0.786000,0.171400,1.000000
agent_07,timid,5,0,5,0.470231,5,0.342000,1.710000,0.790000,-0.920000,0.158000,1.000000
agent_08,calibrated,5,0,5,0.938176,5,0.339200,1.696000,0.804000,-0.892000,0.160800,1.000000
agent_09,neutral,5,0,5,0.943002,5,0.346800,1.734000,0.766000,-0.968000,0.153200,1.000000
agent_10,assertive,5,0,5,1.000000,5,0.332600,1.663000,0.837000,-0.826000,0.167400,1.000000
agent_11,calibrated,5,0,5,0.905951,5,0.342000,1.710000,0.790000,-0.920000,0.158000,1.000000
agent_12,neutral,5,0,5,0.938238,5,0.346800,1.734000,0.766000,-0.968000,0.153200,1.000000
agent_13,assertive,5,0,5,1.000000,5,0.331800,1.659000,0.841000,-0.818000,0.168200,1.000000
agent_14,timid,5,0,5,0.480787,5,0.329400,1.647000,0.853000,-0.794000,0.170600,1.000000
agent_15,assertive,5,0,5,1.000000,5,0.326800,1.634000,0.866000,-0.768000,0.173200,1.000000
agent_16,neutral,5,0,5,0.939672,5,0.335600,1.678000,0.822000,-0.856000,0.164400,1.000000
agent_17,timid,5,0,5,0.461855,5,0.338800,1.694000,0.806000,-0.888000,0.161200,1.000000
agent_18,assertive,5,0,5,1.000000,5,0.333600,1.668000,0.832000,-0.836000,0.166400,1.000000
agent_19,neutral,5,0,5,0.928795,5,0.332600,1.663000,0.837000,-0.826000,0.167400,1.000000
