agent_id,communication_style,total_rounds,times_proposer,total_bids_made,avg_bid,total_interventions,avg_intervention_cost,total_cost,total_reward,net_benefit,avg_reward_per_round,final_budget
agent_00,calibrated,5,1,5,0.030640,0,0.000000,0.093192,2.406808,2.313617,0.481362,1.000000
agent_01,calibrated,5,0,5,0.022284,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_02,calibrated,5,0,5,0.027492,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_03,assertive,5,0,5,0.008102,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_04,assertive,5,0,5,0.043907,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_05,timid,5,0,5,0.015813,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_06,timid,5,0,5,0.019428,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_07,neutral,5,1,5,0.049235,0,0.000000,0.145236,2.354764,2.209527,0.470953,1.000000
agent_08,assertive,5,2,5,0.023695,0,0.000000,0.118476,2.381524,2.263048,0.476305,1.000000
agent_09,neutral,5,0,5,0.009864,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_10,timid,5,0,5,0.000711,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_11,neutral,5,0,5,0.021891,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_12,assertive,5,1,5,0.015565,0,0.000000,0.064517,2.435483,2.370966,0.487097,1.000000
agent_13,assertive,5,0,5,0.028669,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_14,calibrated,5,0,5,0.011299,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_15,neutral,5,0,5,0.000000,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_16,calibrated,5,0,5,0.007329,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_17,timid,5,0,5,0.011203,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_18,timid,5,0,5,0.014757,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
agent_19,neutral,5,0,5,0.007861,0,0.000000,0.000000,2.500000,2.500000,0.500000,1.000000
